code,name,sector33
1332,ニッスイ,水産・農林業
1518,三井松島ホールディングス,鉱業
1605,INPEX,鉱業
1721,コムシスホールディングス,建設業
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1808,長谷工コーポレーション,建設業
1812,鹿島建設,建設業
1928,積水ハウス,建設業
3401,帝人,繊維製品
3402,東レ,繊維製品
3861,王子ホールディングス,パルプ・紙
3863,日本製紙,パルプ・紙
4004,レゾナック・ホールディングス,化学
4005,住友化学,化学
4021,日産化学,化学
4042,東ソー,化学
4061,デンカ,化学
4063,信越化学工業,化学
4183,三井化学,化学
4188,三菱ケミカルグループ,化学
4208,UBE,化学
4272,日本化薬,化学
4901,富士フイルムホールディングス,化学
5019,出光興産,石油・石炭製品
5020,ENEOSホールディングス,石油・石炭製品
5101,横浜ゴム,ゴム製品
5108,ブリヂストン,ゴム製品
5201,AGC,ガラス・土石製品
5214,日本電気硝子,ガラス・土石製品
5233,太平洋セメント,ガラス・土石製品
5301,東海カーボン,ガラス・土石製品
5332,TOTO,ガラス・土石製品
5333,日本碍子,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,JFEホールディングス,鉄鋼
5423,東京製鐵,鉄鋼
5471,大同特殊鋼,鉄鋼
5486,日立金属,鉄鋼
5541,大平洋金属,鉄鋼
5711,三菱マテリアル,非鉄金属
5713,住友金属鉱山,非鉄金属
5714,DOWAホールディングス,非鉄金属
5801,古河電気工業,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
5901,東洋製罐グループホールディングス,金属製品
5991,ニッパツ,金属製品
6103,オークマ,機械
6113,アマダ,機械
6273,SMC,機械
6301,小松製作所,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6326,クボタ,機械
6361,荏原製作所,機械
6367,ダイキン工業,機械
6471,日本精工,機械
6472,NTN,機械
6473,ジェイテクト,機械
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6594,ニデック,電気機器
6702,富士通,電気機器
6752,パナソニックホールディングス,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6857,アドバンテスト,電気機器
6902,デンソー,輸送用機器
6952,カシオ計算機,電気機器
6954,ファナック,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
7003,三井E&S,輸送用機器
7004,日立造船,機械
7011,三菱重工業,機械
7012,川崎重工業,輸送用機器
7013,IHI,機械
7201,日産自動車,輸送用機器
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7205,日野自動車,輸送用機器
7211,三菱自動車工業,輸送用機器
7261,マツダ,輸送用機器
7267,ホンダ,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
7731,ニコン,精密機器
7733,オリンパス,精密機器
7741,HOYA,精密機器
7751,キヤノン,電気機器
7911,TOPPANホールディングス,その他製品
7912,大日本印刷,その他製品
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8015,豊田通商,卸売業
8031,三井物産,卸売業
8053,住友商事,卸売業
8058,三菱商事,卸売業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9147,NIPPON EXPRESSホールディングス,倉庫・運輸関連業
9201,日本航空,空運業
9202,ANAホールディングス,空運業
9301,三菱倉庫,倉庫・運輸関連業
